"filename", "language", "JSON with Comments", "TypeScript React", "TypeScript", "SVG", "JSON", "Markdown", "Ignore", "CSS", "comment", "blank", "total"
"/Users/claygiffin/Documents/@the-door/packages/the-door/gatsby-node.ts", "TypeScript", 0, 0, 335, 0, 0, 0, 0, 0, 0, 11, 346
"/Users/claygiffin/Documents/@the-door/packages/the-door/gatsby-ssr.tsx", "TypeScript React", 0, 23, 0, 0, 0, 0, 0, 0, 0, 2, 25
"/Users/claygiffin/Documents/@the-door/packages/the-door/netlify/functions/scheduled-deploy.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 2, 22
"/Users/claygiffin/Documents/@the-door/packages/the-door/package.json", "JSON", 0, 0, 0, 0, 66, 0, 0, 0, 13, 0, 79
"/Users/claygiffin/Documents/@the-door/packages/the-door/src/components/Door50Logo.tsx", "TypeScript React", 0, 63, 0, 0, 0, 0, 0, 0, 0, 3, 66
"/Users/claygiffin/Documents/@the-door/packages/the-door/src/components/DoorLogo.tsx", "TypeScript React", 0, 38, 0, 0, 0, 0, 0, 0, 0, 3, 41
"/Users/claygiffin/Documents/@the-door/packages/the-door/src/components/HomeFaces.tsx", "TypeScript React", 0, 134, 0, 0, 0, 0, 0, 0, 0, 5, 139
"/Users/claygiffin/Documents/@the-door/packages/the-door/src/components/HomeFaces__Thumbnail.tsx", "TypeScript React", 0, 138, 0, 0, 0, 0, 0, 0, 0, 6, 144
"/Users/claygiffin/Documents/@the-door/packages/the-door/src/components/HomeHero.tsx", "TypeScript React", 0, 155, 0, 0, 0, 0, 0, 0, 0, 6, 161
"/Users/claygiffin/Documents/@the-door/packages/the-door/src/components/HomeImpact.tsx", "TypeScript React", 0, 223, 0, 0, 0, 0, 0, 0, 0, 5, 228
"/Users/claygiffin/Documents/@the-door/packages/the-door/src/components/HomeServices.tsx", "TypeScript React", 0, 187, 0, 0, 0, 0, 0, 0, 0, 6, 193
"/Users/claygiffin/Documents/@the-door/packages/the-door/src/components/HomeWelcome.tsx", "TypeScript React", 0, 190, 0, 0, 0, 0, 0, 0, 0, 5, 195
"/Users/claygiffin/Documents/@the-door/packages/the-door/src/components/Layout.tsx", "TypeScript React", 0, 225, 0, 0, 0, 0, 0, 0, 0, 5, 230
"/Users/claygiffin/Documents/@the-door/packages/the-door/src/components/PageServices.tsx", "TypeScript React", 0, 32, 0, 0, 0, 0, 0, 0, 0, 4, 36
"/Users/claygiffin/Documents/@the-door/packages/the-door/src/components/Seo.tsx", "TypeScript React", 0, 99, 0, 0, 0, 0, 0, 0, 4, 9, 112
"/Users/claygiffin/Documents/@the-door/packages/the-door/src/components/ServiceModuleGroup.tsx", "TypeScript React", 0, 173, 0, 0, 0, 0, 0, 0, 1, 6, 180
"/Users/claygiffin/Documents/@the-door/packages/the-door/src/components/ServicesModule.tsx", "TypeScript React", 0, 91, 0, 0, 0, 0, 0, 0, 0, 5, 96
"/Users/claygiffin/Documents/@the-door/packages/the-door/src/graphql/fragments.tsx", "TypeScript React", 0, 752, 0, 0, 0, 0, 0, 0, 0, 2, 754
"/Users/claygiffin/Documents/@the-door/packages/the-door/src/hooks/useEventsQuery.tsx", "TypeScript React", 0, 25, 0, 0, 0, 0, 0, 0, 0, 3, 28
"/Users/claygiffin/Documents/@the-door/packages/the-door/src/hooks/useNewsQuery.tsx", "TypeScript React", 0, 39, 0, 0, 0, 0, 0, 0, 0, 3, 42
"/Users/claygiffin/Documents/@the-door/packages/the-door/src/hooks/usePartnersQuery.tsx", "TypeScript React", 0, 22, 0, 0, 0, 0, 0, 0, 0, 3, 25
"/Users/claygiffin/Documents/@the-door/packages/the-door/src/images/favicon.svg", "SVG", 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"/Users/claygiffin/Documents/@the-door/packages/the-door/src/pages/404.tsx", "TypeScript React", 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/claygiffin/Documents/@the-door/packages/the-door/src/pages/index.tsx", "TypeScript React", 0, 235, 0, 0, 0, 0, 0, 0, 1, 8, 244
"/Users/claygiffin/Documents/@the-door/packages/the-door/src/templates/CalendarPage.tsx", "TypeScript React", 0, 52, 0, 0, 0, 0, 0, 0, 0, 7, 59
"/Users/claygiffin/Documents/@the-door/packages/the-door/src/templates/ContactPage.tsx", "TypeScript React", 0, 132, 0, 0, 0, 0, 0, 0, 0, 7, 139
"/Users/claygiffin/Documents/@the-door/packages/the-door/src/templates/EventArticlePage.tsx", "TypeScript React", 0, 44, 0, 0, 0, 0, 0, 0, 0, 8, 52
"/Users/claygiffin/Documents/@the-door/packages/the-door/src/templates/FacesPage.tsx", "TypeScript React", 0, 238, 0, 0, 0, 0, 0, 0, 0, 8, 246
"/Users/claygiffin/Documents/@the-door/packages/the-door/src/templates/FacesStoryPage.tsx", "TypeScript React", 0, 45, 0, 0, 0, 0, 0, 0, 0, 8, 53
"/Users/claygiffin/Documents/@the-door/packages/the-door/src/templates/FormPage.tsx", "TypeScript React", 0, 44, 0, 0, 0, 0, 0, 0, 0, 8, 52
"/Users/claygiffin/Documents/@the-door/packages/the-door/src/templates/ImpactPage.tsx", "TypeScript React", 0, 452, 0, 0, 0, 0, 0, 0, 0, 8, 460
"/Users/claygiffin/Documents/@the-door/packages/the-door/src/templates/InteriorPage.tsx", "TypeScript React", 0, 124, 0, 0, 0, 0, 0, 0, 0, 8, 132
"/Users/claygiffin/Documents/@the-door/packages/the-door/src/templates/InternalArticlePage.tsx", "TypeScript React", 0, 48, 0, 0, 0, 0, 0, 0, 0, 8, 56
"/Users/claygiffin/Documents/@the-door/packages/the-door/src/templates/LatestPage.tsx", "TypeScript React", 0, 167, 0, 0, 0, 0, 0, 0, 0, 9, 176
"/Users/claygiffin/Documents/@the-door/packages/the-door/src/templates/LeaderProfilePage.tsx", "TypeScript React", 0, 44, 0, 0, 0, 0, 0, 0, 0, 8, 52
"/Users/claygiffin/Documents/@the-door/packages/the-door/src/templates/LeadershipPage.tsx", "TypeScript React", 0, 396, 0, 0, 0, 0, 0, 0, 0, 6, 402
"/Users/claygiffin/Documents/@the-door/packages/the-door/src/templates/MembershipPage.tsx", "TypeScript React", 0, 137, 0, 0, 0, 0, 0, 0, 0, 7, 144
"/Users/claygiffin/Documents/@the-door/packages/the-door/src/templates/PartnerArticlePage.tsx", "TypeScript React", 0, 50, 0, 0, 0, 0, 0, 0, 0, 8, 58
"/Users/claygiffin/Documents/@the-door/packages/the-door/src/templates/ProgramsPage.tsx", "TypeScript React", 0, 146, 0, 0, 0, 0, 0, 0, 0, 7, 153
"/Users/claygiffin/Documents/@the-door/packages/the-door/src/templates/ServicePage.tsx", "TypeScript React", 0, 149, 0, 0, 0, 0, 0, 0, 0, 8, 157
"/Users/claygiffin/Documents/@the-door/packages/the-door/src/templates/TertiaryPage.tsx", "TypeScript React", 0, 46, 0, 0, 0, 0, 0, 0, 0, 5, 51
"/Users/claygiffin/Documents/@the-door/packages/the-door/src/theme/variables.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/claygiffin/Documents/@the-door/packages/the-door/src/types/images.d.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/claygiffin/Documents/@the-door/packages/the-door/src/types/index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/claygiffin/Documents/@the-door/packages/the-door/tsconfig.json", "JSON with Comments", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/claygiffin/Documents/@the-door/tsconfig.build.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"/Users/claygiffin/Documents/@the-door/tsconfig.json", "JSON with Comments", 6, 0, 0, 0, 0, 0, 0, 0, 20, 0, 26
"Total", "-", 20, 16397, 603, 10, 34098, 57, 4, 56, 130, 1012, 52387
